"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience Targeting","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Matched Audience Targeting Consumers on Post","Lifetime Matched Audience Targeting Consumptions on Post","Lifetime Negative Feedback from Users","Lifetime Negative Feedback","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - share","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - comment","Lifetime Post Stories by action type - share","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - comment","Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - photo view","Lifetime Post Audience Targeting Unique Consumptions by Type - video play","Lifetime Matched Audience Targeting Consumptions by Type - other clicks","Lifetime Matched Audience Targeting Consumptions by Type - link clicks","Lifetime Matched Audience Targeting Consumptions by Type - photo view","Lifetime Matched Audience Targeting Consumptions by Type - video play","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback from Users by Type - hide_clicks","Lifetime Negative Feedback from Users by Type - report_spam_clicks","Lifetime Negative Feedback by Type - hide_all_clicks","Lifetime Negative Feedback by Type - hide_clicks","Lifetime Negative Feedback by Type - report_spam_clicks"
130268756992804_2458298237523166,https://www.facebook.com/YaleClimateConnections/posts/2458298237523166,"Visual treatments, cartoons, and artwork — there’s more than one way to sum up scientific research.",Link,,,"05/21/2019 09:00:01 AM"," ",2068,2068,0,2668,2668,0,77,44,50,9,11,2521,1951,0,0,71,0,0,0,0,0,0,0,0,0,0,9,43,4,9,45,6,22,23,,,26,24,,,1,10,,1,8,
130268756992804_2458019584217698,https://www.facebook.com/YaleClimateConnections/posts/2458019584217698,"Climate change may mean less colorful springtimes in New England:",Link,,,"05/21/2019 04:35:01 AM"," ",11925,3168,8396,14291,4288,10029,1951,263,297,4,7,3598,2612,5,4,160,0,0,0,0,0,0,0,0,0,0,185,1682,67,201,1712,78,66,208,,,92,205,,,,7,,,4,
130268756992804_2456431351043188,https://www.facebook.com/YaleClimateConnections/posts/2456431351043188,"In the latest edition of #AskSara, advice on carbon offsets, charitable donations, and answering mom's questions about climate change.",Link,,,"05/20/2019 06:32:24 AM"," ",2494,2494,0,3379,3379,0,140,104,136,5,6,3131,2335,0,0,116,0,0,0,0,0,0,0,0,0,0,11,51,9,11,51,13,58,57,,,80,56,,,,6,,,5,
130268756992804_2456245247728465,https://www.facebook.com/YaleClimateConnections/posts/2456245247728465,"Craig Mathews, an avid hunter and fisherman, says everyone who loves the outdoors should help reduce global warming:",Link,,,"05/20/2019 04:16:02 AM"," ",20131,4365,15301,24951,6103,18848,3714,270,315,8,9,4176,3072,6,5,219,0,0,0,0,0,0,0,0,0,0,513,3264,145,549,3452,271,118,153,,,162,153,,,,9,,,8,
130268756992804_2451232854896371,https://www.facebook.com/YaleClimateConnections/posts/2451232854896371,"Forget tripping on stage at graduation - these high schoolers are worried about climate change.",Link,,,"05/17/2019 09:00:01 AM"," ",2085,2085,0,2765,2765,0,124,65,77,4,5,2604,1988,0,0,113,0,0,0,0,0,0,0,0,0,0,12,75,3,12,77,3,36,32,,,45,32,,,,5,,,4,
130268756992804_2450977798255210,https://www.facebook.com/YaleClimateConnections/posts/2450977798255210,"Let’s hear it for the first line of defense against shore erosion:",Link,,,"05/17/2019 04:00:14 AM"," ",24586,4469,20760,30762,5993,24769,4991,228,254,5,6,4118,3045,7,6,281,0,0,0,0,0,0,0,0,0,0,560,4724,77,564,4783,88,119,113,1,,141,112,1,,1,5,,1,4,
130268756992804_2449303701755953,https://www.facebook.com/YaleClimateConnections/posts/2449303701755953,"Extreme heat poses a long-term threat to the grid in L.A. county:",Link,,,"05/16/2019 04:30:25 AM"," ",6411,2545,3893,8631,3465,5166,1003,115,145,4,4,2957,2172,3,3,118,0,0,0,0,0,0,0,0,0,0,135,832,62,137,871,89,57,63,,,82,63,,,1,3,,1,3,
130268756992804_2447537185265938,https://www.facebook.com/YaleClimateConnections/posts/2447537185265938,"Eduardo Nájera of nonprofit Wildcoast says protecting carbon-rich ecosystems, like mangroves, is one of the best and most cost-effective ways to keep carbon out of the atmosphere.",Link,,,"05/15/2019 04:00:04 AM"," ",16164,3407,12769,20787,4519,16268,3319,206,247,7,8,2936,2190,6,5,176,0,0,0,0,0,0,0,0,0,0,440,3050,58,456,3076,83,87,119,,,125,122,,,1,7,,1,6,
130268756992804_2446029482083375,https://www.facebook.com/YaleClimateConnections/posts/2446029482083375,"Major changes are required in order to avoid catastrophic warming, and those changes can be made starting right now.",Link,,,"05/14/2019 11:00:01 AM"," ",8888,3466,5617,10955,4566,6389,1157,212,302,7,8,2893,2202,1,1,156,0,0,0,0,0,0,0,0,0,0,191,926,46,204,951,206,116,106,,,194,108,,,2,6,,2,5,
130268756992804_2445841822102141,https://www.facebook.com/YaleClimateConnections/posts/2445841822102141,"As the climate changes, Michael Hoffmann of the Cornell Institute for Climate Smart Solutions says “we need to update or even create new decision tools for farmers.”",Link,,,"05/14/2019 04:00:10 AM"," ",2014,2014,0,2793,2793,0,73,44,59,5,7,2479,1796,0,0,65,0,0,0,0,0,0,0,0,0,0,7,42,1,7,42,1,37,10,,,49,10,,,,7,,,5,
130268756992804_2438698812816442,https://www.facebook.com/YaleClimateConnections/posts/2438698812816442,"More regular and intense wildfires mean more challenges for vineyards:",Link,,,"05/10/2019 04:01:02 AM"," ",2193,2193,0,2986,2986,0,89,47,54,5,5,2646,1948,0,0,74,0,0,0,0,0,0,0,0,0,0,6,54,3,6,54,3,25,27,,,27,27,,,,5,,,5,
130268756992804_2436960142990309,https://www.facebook.com/YaleClimateConnections/posts/2436960142990309,"Pam Dawling lives at Twin Oaks commune in Virginia. This lifestyle isn’t right for everyone, but she says sharing doesn’t have to be all-or-nothing:",Link,,,"05/09/2019 04:00:38 AM"," ",9136,4451,5073,12172,5973,6199,1225,375,404,7,8,4153,2946,1,1,193,0,0,0,0,0,0,0,0,0,0,123,942,52,125,946,71,80,303,,,101,303,,,1,7,,1,6,
130268756992804_2435201653166158,https://www.facebook.com/YaleClimateConnections/posts/2435201653166158,"In low-income ZIP codes, customers pay an additional $6 to buy an LED bulb over an incandescent bulb. In higher-income zip codes, customers only pay an additional $3. What’s up with that?",Link,,,"05/08/2019 03:17:01 AM"," ",28064,9636,18518,37171,13336,23835,3726,764,914,12,15,5552,3934,5,4,347,0,0,0,0,0,0,0,0,0,0,588,2843,287,588,3009,476,343,449,2,,453,459,2,,1,14,,1,11,
130268756992804_2433833113303012,https://www.facebook.com/YaleClimateConnections/posts/2433833113303012,"These articles are so vivid that you’ll feel like you’re watching a movie.",Link,,,"05/07/2019 09:00:01 AM"," ",2322,2322,0,2910,2910,0,76,41,62,3,4,2663,2130,0,0,67,0,0,0,0,0,0,0,0,0,0,6,37,8,6,38,19,22,22,,,40,22,,,,4,,,3,
130268756992804_2433682336651423,https://www.facebook.com/YaleClimateConnections/posts/2433682336651423,"In Norway, electric vehicles are starting to become the new normal:",Link,,,"05/07/2019 04:30:16 AM"," ",16612,7265,9716,21526,9880,11646,2464,368,464,7,9,5391,3789,2,2,331,0,0,0,0,0,0,0,0,0,0,235,2141,90,239,2278,256,181,209,,,250,214,,,,9,,,7,
130268756992804_2432750606744596,https://www.facebook.com/YaleClimateConnections/posts/2432750606744596,"Food waste harms the climate, so why not stop it at the source?",Link,,,"05/06/2019 12:41:02 PM"," ",3076,3076,0,4019,4019,0,150,78,98,4,4,3303,2470,0,0,128,0,0,0,0,0,0,0,0,0,0,14,89,5,17,94,5,49,35,,,60,38,,,,4,,,4,
130268756992804_2432117166807940,https://www.facebook.com/YaleClimateConnections/posts/2432117166807940,"“My wife and I feel like we're called to be good stewards of what we've been given, and so if we can lessen our footprint, we feel like that's the right thing to do for our farm,” says Tim Clymer of Threefold Farm:",Link,,,"05/06/2019 04:00:49 AM"," ",14441,6084,8448,18977,8306,10671,2310,490,580,8,9,4530,3201,4,2,258,0,0,0,0,0,0,0,0,0,0,265,1946,37,278,1962,49,134,385,,,192,388,,,2,7,,2,6,
130268756992804_2427219793964344,https://www.facebook.com/YaleClimateConnections/posts/2427219793964344,"A.I. is central to tech companies as varied as Spotify and Google. Can it be used to better understand climate change?",Link,,,"05/03/2019 04:15:01 AM"," ",2258,2258,0,3065,3065,0,84,58,81,3,4,2842,2079,0,0,80,0,0,0,0,0,0,0,0,0,0,5,55,10,5,57,13,44,16,,,64,17,,,,4,,,3,
130268756992804_2425852540767736,https://www.facebook.com/YaleClimateConnections/posts/2425852540767736,"Climate-friendly 🍺: #TBT https://www.yaleclimateconnections.org/2017/09/patagonias-climate-friendly-beer/",Link,,,"05/02/2019 08:03:21 AM"," ",2344,2344,0,3160,3160,0,75,56,70,4,5,2353,1732,0,0,51,0,0,0,0,0,0,0,0,0,0,8,35,4,9,36,4,31,30,,,39,31,,,,5,,,4,
130268756992804_2425567240796266,https://www.facebook.com/YaleClimateConnections/posts/2425567240796266,"In the aftermath of wildfires, heavy rains can become a deadly threat:",Link,,,"05/02/2019 04:30:12 AM"," ",2401,2401,0,3362,3362,0,94,47,65,4,5,3064,2178,0,0,85,0,0,0,0,0,0,0,0,0,0,8,59,5,8,61,8,33,18,,,47,18,,,,5,,,4,
130268756992804_2423913640961626,https://www.facebook.com/YaleClimateConnections/posts/2423913640961626,"Improving energy efficiency could be a win-win for the climate and the economy:",Link,,,"05/01/2019 04:00:15 AM"," ",23142,4451,18632,31817,6071,25746,4173,253,304,8,8,3238,2385,8,5,150,0,0,0,0,0,0,0,0,0,0,352,3927,86,360,3932,289,109,146,,,157,147,,,3,5,,3,5,
130268756992804_2422454057774251,https://www.facebook.com/YaleClimateConnections/posts/2422454057774251,"Biologist Barry Sinervo says he was 'blown away' by how much deforestation is heating up tropical areas.",Link,,,"04/30/2019 12:00:01 PM"," ",20493,7918,13163,25123,10069,15054,2645,337,414,13,14,3965,3063,2,2,198,0,0,0,0,0,0,0,0,0,0,552,2255,47,568,2346,87,91,259,,,150,264,,,,14,,,13,
130268756992804_2422290027790654,https://www.facebook.com/YaleClimateConnections/posts/2422290027790654,"“It became very, very obvious, very sobering that climate change is already here,” says Franklin Egan of the Pennsylvania Association for Sustainable Agriculture:",Link,,,"04/30/2019 04:15:01 AM"," ",20918,10812,9832,27261,14795,12466,3164,649,969,9,10,7741,5362,2,2,607,0,0,0,0,0,0,0,0,0,0,478,2344,148,478,2362,538,314,378,1,,595,373,1,,,10,,,9,
130268756992804_2421094901243500,https://www.facebook.com/YaleClimateConnections/posts/2421094901243500,"Costs come from diminished labor productivity, damaged infrastructure, and the loss of human lives.",Link,,,"04/29/2019 09:00:01 AM"," ",9200,5741,3702,12065,7623,4442,1114,205,404,8,8,4983,3660,0,0,264,0,0,0,0,0,0,0,0,0,0,169,872,100,172,894,432,153,60,1,,342,61,1,,,8,,,8,
130268756992804_2415904905095833,https://www.facebook.com/YaleClimateConnections/posts/2415904905095833,"When places like this are destroyed, their history can never be recovered.",Link,,,"04/29/2019 06:02:00 AM"," ",12424,5757,6623,14490,7311,7179,1597,302,382,5,5,4421,3309,3,3,241,0,0,0,0,0,0,0,0,0,0,184,1324,65,186,1403,186,93,214,,,164,218,,,,5,,,5,
130268756992804_2415792641773726,https://www.facebook.com/YaleClimateConnections/posts/2415792641773726,"Alexandra Palt thinks sustainable products need a re-brand. What if we stopped thinking of sustainable choices as a sacrifice and started to think of them as a treat?",Link,,,"04/26/2019 06:00:38 AM"," ",2707,2707,0,3626,3626,0,133,88,126,4,4,3381,2525,0,0,118,0,0,0,0,0,0,0,0,0,0,7,66,5,7,67,9,64,30,,,96,30,,,1,3,,1,3,
130268756992804_2412817772071213,https://www.facebook.com/YaleClimateConnections/posts/2412817772071213,"“If we want to restore our Earth, we must re-story it.” - author Gary Nabhan",Link,,,"04/25/2019 09:00:02 AM"," ",5314,3211,2052,7168,4285,2883,553,159,215,5,7,3365,2511,1,1,122,0,0,0,0,0,0,0,0,0,0,42,433,28,44,447,162,68,98,,,117,98,,,2,5,,2,4,
130268756992804_2414113598608297,https://www.facebook.com/YaleClimateConnections/posts/2414113598608297,"Tropical forests store a huge amount of carbon — an essential defense against climate change. More common extreme storms could put them at risk, though:",Link,,,"04/25/2019 06:15:07 AM"," ",3081,3081,0,4171,4171,0,158,62,94,2,2,3587,2563,0,0,134,0,0,0,0,0,0,0,0,0,0,22,101,13,22,102,17,53,12,,,82,12,,,,2,,,2,
