"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience Targeting","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Matched Audience Targeting Consumers on Post","Lifetime Matched Audience Targeting Consumptions on Post","Lifetime Negative Feedback from Users","Lifetime Negative Feedback","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - share","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - comment","Lifetime Post Stories by action type - share","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - comment","Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - photo view","Lifetime Post Audience Targeting Unique Consumptions by Type - video play","Lifetime Matched Audience Targeting Consumptions by Type - other clicks","Lifetime Matched Audience Targeting Consumptions by Type - link clicks","Lifetime Matched Audience Targeting Consumptions by Type - photo view","Lifetime Matched Audience Targeting Consumptions by Type - video play","Lifetime Negative Feedback from Users by Type - hide_clicks","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback from Users by Type - report_spam_clicks","Lifetime Negative Feedback by Type - hide_clicks","Lifetime Negative Feedback by Type - hide_all_clicks","Lifetime Negative Feedback by Type - report_spam_clicks"
130268756992804_2206977755988550,https://www.facebook.com/YaleClimateConnections/posts/2206977755988550,"“If you see ecological injustice, for goodness’ sakes, speak out.” — George Pakenham",Link,,,"12/12/2018 06:00:07 AM"," ",10242,4514,5967,13201,6350,6851,1177,260,342,10,13,3742,2563,2,2,173,0,0,0,0,0,0,0,0,0,0,81,958,56,85,983,85,113,166,,,179,163,,,13,,,10,,
130268756992804_2205853639434295,https://www.facebook.com/YaleClimateConnections/posts/2205853639434295,"Climate/health care look-alike challenge: How will Congress handle?

https://www.yaleclimateconnections.org/2018/12/congress-to-confront-climate-change-health-care-nexus/",Link,,,"12/11/2018 12:50:00 PM"," ",2001,2001,0,2586,2586,0,63,40,54,4,4,2359,1794,0,0,56,0,0,0,0,0,0,0,0,0,0,5,35,3,5,36,3,26,18,,,35,19,,,4,,,4,,
130268756992804_2205339816152344,https://www.facebook.com/YaleClimateConnections/posts/2205339816152344,"There’s a hidden cost to giant e-commerce warehouses, and low-income areas end up paying it:",Link,,,"12/11/2018 06:00:03 AM"," ",2566,2566,0,3431,3431,0,124,69,115,6,6,3081,2288,0,0,116,0,0,0,0,0,0,0,0,0,0,13,60,4,13,60,10,32,42,,,72,43,,,6,,,6,,
130268756992804_2203746732978319,https://www.facebook.com/YaleClimateConnections/posts/2203746732978319,"No one is completely immune. https://www.yaleclimateconnections.org/2018/12/will-climate-change-make-us-sick/",Link,,,"12/10/2018 08:30:01 AM"," ",3666,3666,0,4901,4901,0,192,107,153,8,8,4047,3036,0,0,158,0,0,0,0,0,0,0,0,0,0,23,99,16,23,101,21,69,46,,,105,48,,,8,,,8,,
130268756992804_2203626736323652,https://www.facebook.com/YaleClimateConnections/posts/2203626736323652,"“This is a way of resiliency that comes from our own people, from our own traditions,” says Andrea Carmen of the International Indian Treaty Council.",Link,,,"12/10/2018 06:00:33 AM"," ",33415,12085,22152,41698,16173,25525,4991,393,447,13,13,4577,3216,4,3,262,0,0,0,0,0,0,0,0,0,0,724,4664,61,745,4759,105,196,206,,,244,203,,,13,,,13,,
130268756992804_2198967623456230,https://www.facebook.com/YaleClimateConnections/posts/2198967623456230,"Mom power:",Link,,,"12/07/2018 06:00:46 AM"," ",9681,4425,5604,13171,6170,7001,1686,118,152,8,8,3882,2704,5,4,173,0,0,0,0,0,0,0,0,0,0,105,1601,13,107,1624,25,70,50,1,,102,49,1,,7,1,,7,1,
130268756992804_2197365780283081,https://www.facebook.com/YaleClimateConnections/posts/2197365780283081,"“When you talk to scientists — and climate scientists in particular — they’re not arguing about whether it’s happening or not.” — Eric Pyle",Link,,,"12/06/2018 06:00:07 AM"," ",34142,15088,19268,44430,20081,24349,5365,527,782,23,24,6183,4307,2,2,449,0,0,0,0,0,0,0,0,0,0,584,4734,149,594,4743,302,343,188,,,596,186,,,21,3,,20,3,
130268756992804_2195762757110050,https://www.facebook.com/YaleClimateConnections/posts/2195762757110050,"Today is World Soil Day, a time to celebrate one of the world’s greatest carbon sinks:",Link,,,"12/05/2018 06:00:05 AM"," ",5824,4235,1652,7698,5626,2072,616,116,142,11,12,3815,2784,1,1,171,0,0,0,0,0,0,0,0,0,0,58,535,6,58,550,6,72,49,,,90,52,,,9,3,,8,3,
130268756992804_2194273347258991,https://www.facebook.com/YaleClimateConnections/posts/2194273347258991,"Mayor Serge Dedina’s city is already experiencing the effects of sea-level rise. “We’re not going to take this lying down. We think that those who cause climate change should pay up,” he says.",Link,,,"12/04/2018 06:00:08 AM"," ",15920,9249,7789,21972,12926,9046,2587,904,1313,7,7,7094,4902,5,5,693,0,0,0,0,0,0,0,0,0,0,334,1907,93,348,1945,372,312,651,,,645,668,,,7,,,7,,
130268756992804_2192811590738500,https://www.facebook.com/YaleClimateConnections/posts/2192811590738500,"“Our job is to bring light into the dark time,” says Rabbi Arthur Waskow.",Link,,,"12/03/2018 06:00:15 AM"," ",21493,7209,14841,26081,9406,16675,3720,286,348,15,16,4239,3063,4,4,264,0,0,0,0,0,0,0,0,0,0,294,3532,35,301,3622,81,144,149,,,201,147,,,15,1,,14,1,
