"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience Targeting","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Matched Audience Targeting Consumers on Post","Lifetime Matched Audience Targeting Consumptions on Post","Lifetime Negative Feedback from Users","Lifetime Negative Feedback","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - share","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - comment","Lifetime Post Stories by action type - share","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - comment","Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - photo view","Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - video play","Lifetime Matched Audience Targeting Consumptions by Type - other clicks","Lifetime Matched Audience Targeting Consumptions by Type - photo view","Lifetime Matched Audience Targeting Consumptions by Type - link clicks","Lifetime Matched Audience Targeting Consumptions by Type - video play","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback from Users by Type - hide_clicks","Lifetime Negative Feedback from Users by Type - report_spam_clicks","Lifetime Negative Feedback by Type - hide_all_clicks","Lifetime Negative Feedback by Type - hide_clicks","Lifetime Negative Feedback by Type - report_spam_clicks"
130268756992804_1963736766979318,https://www.facebook.com/YaleClimateConnections/posts/1963736766979318,"Participants in the Extreme Energy Makeover program reported a 30 percent reduction in their energy bills.",Link,,,"07/06/2018 06:01:29 AM"," ",2933,2933,0,4082,4082,0,130,84,107,8,8,3636,2573,0,0,120,0,0,0,0,0,0,0,0,0,0,9,72,3,9,72,3,51,,42,,63,,44,,2,6,,2,6,
130268756992804_1962253990460929,https://www.facebook.com/YaleClimateConnections/posts/1962253990460929,"&quot;They show up to work and keep working, likely with the knowledge that their living room is under two feet of water, and their family is driving hours away or attempting to ride out the storm on the second floor of the house.” — paramedic Greg Friese",Link,,,"07/05/2018 06:00:21 AM"," ",18189,6344,12163,26152,8369,17783,2369,404,531,9,9,4887,3527,13,13,164,0,0,0,0,0,0,0,0,0,0,215,2113,50,221,2178,89,291,,133,,395,,136,,2,7,,2,7,
130268756992804_1960643043955357,https://www.facebook.com/YaleClimateConnections/posts/1960643043955357,"Climate change is making the USA a less ideal habitat for our national bird.",Link,,,"07/04/2018 06:03:41 AM"," ",38772,13525,26329,60016,18228,41788,5894,1136,1335,15,15,6129,4075,15,10,324,0,0,0,0,0,0,0,0,0,0,778,5213,157,813,5213,249,832,,338,,988,,347,,3,12,,3,12,
130268756992804_1959000617452933,https://www.facebook.com/YaleClimateConnections/posts/1959000617452933,"How much carbon pollution can mining one ounce of gold generate?
1. 1 pound
2. 10 pounds
3. 1,000 pounds

Answer here:",Link,,,"07/03/2018 06:02:33 AM"," ",16596,6416,9506,19760,8666,11094,1582,631,827,8,8,5126,3461,3,1,306,0,0,0,0,0,0,0,0,0,0,222,1095,57,222,1103,69,402,,281,,537,,290,,2,6,,2,6,
130268756992804_1957379550948373,https://www.facebook.com/YaleClimateConnections/posts/1957379550948373,"There’s a lot of misinformation out there about climate change. Here’s one way teachers can get the facts right:",Link,,,"07/02/2018 06:02:31 AM"," ",15490,6083,9516,19823,8428,11395,1262,423,703,11,11,5909,3996,8,6,245,0,0,0,0,0,0,0,0,0,0,114,963,39,144,965,212,226,,228,,462,,241,,1,10,,1,10,
130268756992804_1952692014750460,https://www.facebook.com/YaleClimateConnections/videos/1952692014750460/,"The Everglades are a crucial wetland in South Florida. Are restoration managers accounting for all of the threats this key ecosystem is facing? https://bit.ly/2IeLvHC",Video,,,"06/30/2018 10:13:00 AM"," ",87857,15052,72896,147917,19231,128686,2609,1187,1491,13,13,5156,4046,13,11,262,306,318,2243,2276,5906,6110,45667,64399,9867,87583,485,1595,83,504,1604,183,896,,18,412,1051,,18,421,,7,6,,7,6
130268756992804_1952411314778530,https://www.facebook.com/YaleClimateConnections/posts/1952411314778530,"Meet Kelly Shelton, a Sherlock Holmes of energy efficiency:",Link,,,"06/29/2018 06:02:19 AM"," ",2036,2036,0,2899,2899,0,66,42,45,7,7,2467,1749,0,0,58,0,0,0,0,0,0,0,0,0,0,5,36,,5,38,,21,,22,,23,,22,,1,6,,1,6,
130268756992804_1950703484949313,https://www.facebook.com/YaleClimateConnections/posts/1950703484949313,"Beaches aren't just for catching some rays — they serve an important environmental purpose.",Link,,,"06/28/2018 06:00:28 AM"," ",2659,2659,0,3668,3668,0,128,53,58,3,3,2940,2077,0,0,106,0,0,0,0,0,0,0,0,0,0,20,83,,21,89,,25,,27,,30,,28,,1,2,,1,2,
130268756992804_1949060988446896,https://www.facebook.com/YaleClimateConnections/posts/1949060988446896,"“They enjoy solar, and they know for sure it’s going to be around for a while.” — Tim Martinez",Link,,,"06/27/2018 06:02:32 AM"," ",14018,2888,10843,17995,4083,13912,1865,184,200,8,8,2851,1974,6,6,104,0,0,0,0,0,0,0,0,0,0,70,1713,17,72,1713,45,105,,80,,118,,82,,,8,,,8,
130268756992804_1947549165264745,https://www.facebook.com/YaleClimateConnections/posts/1947549165264745,"How a father-and-son chat led to a $400 million bond that will address flooding in Miami:",Link,,,"06/26/2018 06:01:48 AM"," ",30874,6410,24344,44258,8319,35939,3666,710,814,11,11,4231,3081,13,12,226,0,0,0,0,0,0,0,0,0,0,280,3294,58,291,3355,103,366,,384,,412,,402,,1,8,2,1,8,2
